id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5035167,248b4ecf-2081-4b0c-be05-896fe7a39f3f,2017-01-31 3:25:07 PM CST,2017-01-31,2017-01-31 21:25:07 UTC,Central Time (US & Canada),304625,fgavito,Fernando Gavito,2017-02-01 00:02:25 UTC,2020-03-27 17:52:20 UTC,research,,https://www.inaturalist.org/observations/5035167,https://static.inaturalist.org/photos/6166407/medium.jpeg,,"","De la región del llano en llamas, de zapotitlan de Vadillo para el mundo, usada para hacer bolsos y mezcal; especie de importancia en la Reserva de la Biosfera Sierra de Manantlán.",2,0,false,2,"Zapotitlán de Vadillo, MX-JA, MX",19.50945725,-103.85563997,6,,,,6,,,false,,,Maguey,Agave rhodacantha,,Plantae,281059
8115091,3c54d7b1-9830-4cbf-b8b0-586e1414c934,2017/09/26 1:42 PM CDT,2017-09-26,2017-09-26 18:42:00 UTC,Central Time (US & Canada),376395,emmguevara,Emmanuel Guevara Lazcano,2017-09-27 00:09:51 UTC,2018-03-08 04:18:16 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/8115091,https://inaturalist-open-data.s3.amazonaws.com/photos/10761498/medium.jpeg,,"",,1,0,false,,"Colinas de San Javier, 44660 Guadalajara, Jal., México",20.707513,-103.394141,,,,,,,,false,,,Maguey,Agave rhodacantha,,Plantae,281059
12393906,eaf09560-193d-4992-bee6-f9a2407e77c2,2018-05-12,2018-05-12,,Central Time (US & Canada),756724,jcarlocuevas,J. Carlo Cuevas,2018-05-12 21:24:04 UTC,2018-10-12 18:20:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12393906,https://inaturalist-open-data.s3.amazonaws.com/photos/17861811/medium.jpeg,,"",,2,0,false,2,"Zapotitlán de Vadillo, MX-JA, MX",19.538247764,-103.8087754324,1032,,,,1032,,,false,gps,gps,Maguey,Agave rhodacantha,,Plantae,281059
12879166,23ef869f-8c38-4de9-a260-e16d5a8b50f0,Thu May 17 2018 17:24:19 GMT-0500 (CDT),2018-05-17,2018-05-17 22:24:19 UTC,Central Time (US & Canada),849522,leon_alexei_pizano_rodriguez,León Alexei Pizano Rodríguez,2018-05-28 01:48:58 UTC,2020-05-04 02:42:37 UTC,research,,https://www.inaturalist.org/observations/12879166,https://static.inaturalist.org/photos/18697152/medium.jpg,,"",,2,0,false,3,"Zapotitlán de Vadillo, JAL, Zapotitlán de Vadillo, JAL, MX",19.4950466667,-103.7210533333,5,,,,5,,,false,,,Maguey,Agave rhodacantha,,Plantae,281059
51760621,bd32ffc8-47e9-4a6b-8fe9-7d905acbd358,2020-07-02 10:40:20 AM CDT,2020-07-02,2020-07-02 10:40:20 UTC,UTC,3089679,gerardogonzalezs,Gerardo Gonzalez S,2020-07-03 02:43:46 UTC,2020-08-27 14:58:15 UTC,research,,https://www.inaturalist.org/observations/51760621,https://static.inaturalist.org/photos/82256130/medium.jpeg,,"",,3,0,false,2,"Yahualica de González Gallo, Jal., México",21.0423184033,-102.8978724405,187,,,,187,,,false,gps,gps,Maguey mexicano,Agave rhodacantha,,Plantae,281059
56871881,fab3035d-5c0e-4c8c-b3fe-1b965b7a7b2b,2020/08/16 11:26 AM CDT,2020-08-16,2020-08-16 16:26:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2020-08-18 20:12:15 UTC,2020-08-27 14:57:48 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/56871881,https://inaturalist-open-data.s3.amazonaws.com/photos/90661867/medium.jpeg,,"","",2,0,false,,"Hostotipaquillo, Jal., México",21.1272103391,-104.0582238078,15,,,,15,,,false,,,Maguey mexicano,Agave rhodacantha,,Plantae,281059
68960762,cdc3ca81-e769-4a43-8c22-f45f3933fabb,2021-01-31 5:52:37 PM CST,2021-01-31,2021-02-01 03:52:37 UTC,Hawaii,2784222,farar,Francisco Arvizu,2021-02-02 14:29:17 UTC,2021-04-30 15:55:46 UTC,research,,https://www.inaturalist.org/observations/68960762,https://static.inaturalist.org/photos/111792639/medium.jpeg,,"",,1,0,false,2,"San Cristóbal de la Barranca, Jal., México",20.9656379722,-103.391175,,,,,,,,false,gps,gps,Maguey mexicano,Agave rhodacantha,,Plantae,281059
