id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
31647760,893f0f41-bbf3-4303-8de5-3d369f08c2af,2019/08/10 10:59 AM CDT,2019-08-10,2019-08-10 15:59:00 UTC,Guadalajara,86947,poncetejedai_tutor,Gilberto Ponce Tejeda,2019-08-28 01:49:31 UTC,2021-11-26 00:39:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31647760,https://inaturalist-open-data.s3.amazonaws.com/photos/49536478/medium.jpg,,"",dav,1,0,false,,"Municipio de Chapala, Jal., México",20.3200101927,-103.2257812904,503,,,,503,,open,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
31647762,a9a86f86-d788-475d-8f23-d8d947bf60c1,2019/08/10 11:01 AM CDT,2019-08-10,2019-08-10 16:01:00 UTC,Guadalajara,86947,poncetejedai_tutor,Gilberto Ponce Tejeda,2019-08-28 01:49:33 UTC,2021-11-26 00:39:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31647762,https://inaturalist-open-data.s3.amazonaws.com/photos/49536872/medium.jpg,,"",dav,1,0,false,,"Municipio de Chapala, Jal., México",20.3200101927,-103.2257812904,503,,,,503,,open,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
32954629,3df636e1-881e-424d-8635-924412f2fe18,2015/10/18 8:54 AM CDT,2015-10-18,2015-10-18 13:54:00 UTC,Guadalajara,1089681,edgargmez,Edgar Gómez,2019-09-18 15:18:35 UTC,2020-07-28 03:35:11 UTC,research,,https://www.inaturalist.org/observations/32954629,https://static.inaturalist.org/photos/51721655/medium.jpg,,"",,1,0,false,,"Tlajomulco de Zúñiga, Jal., México",20.3706643897,-103.4183122241,110,,,,110,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
39718688,1fda6694-732f-4e16-be7a-fcb7a29c5ac8,2020-03-07 2:12:31 PM CST,2020-03-07,2020-03-07 20:12:31 UTC,Central Time (US & Canada),699302,fredyenamecatl,Fredy,2020-03-08 20:44:26 UTC,2024-08-17 18:29:33 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/39718688,https://inaturalist-open-data.s3.amazonaws.com/photos/63041290/medium.jpeg,,"",,2,0,false,2,Chiquilistlán,20.1123232573,-103.846026957,2789,,,,2789,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
39821757,93da9080-b50f-49ba-99c5-dba383a5cb3f,2020/03/04 7:12 PM CST,2020-03-04,2020-03-05 01:12:00 UTC,Guadalajara,5784,julio,Julio Alejandro Álvarez Ruiz,2020-03-11 00:53:30 UTC,2023-02-19 02:31:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/39821757,https://static.inaturalist.org/photos/63215519/medium.jpeg,,"",,5,0,false,,"San Gabriel, Jal., México",19.6445418551,-103.6210618082,8,,,,8,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
48408630,b1698b85-2764-43fe-b968-da220c944272,2020/06/02 9:37 AM CDT,2020-06-02,2020-06-02 14:37:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2020-06-04 03:57:33 UTC,2020-07-28 03:36:22 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/48408630,https://inaturalist-open-data.s3.amazonaws.com/photos/76806827/medium.jpeg,,"","",2,0,false,,"Zapopan, Jal., México",20.6594062178,-103.4577911944,4,,,,4,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
48434138,dbd72de6-34ef-47fd-afdd-c911a3b3c6da,2020/06/02 9:50 AM CDT,2020-06-02,2020-06-02 14:50:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2020-06-04 13:45:58 UTC,2021-05-04 17:06:55 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/48434138,https://inaturalist-open-data.s3.amazonaws.com/photos/76850430/medium.jpeg,,"","",2,0,false,,"Zapopan, Jal., México",20.6590143749,-103.4591900667,4,,,,4,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
52439547,31b2f38e-b390-4427-833f-c4f055dbfc2b,2020/07/05 9:49 AM CDT,2020-07-05,2020-07-05 14:49:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2020-07-09 04:45:21 UTC,2020-08-18 09:34:50 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/52439547,https://inaturalist-open-data.s3.amazonaws.com/photos/83360013/medium.jpeg,,"","",3,0,false,,"Tapalpa, Jal., México",19.9385377321,-103.8108757616,31,,,,31,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
53414902,ab876579-ff06-4f89-a6c9-dbda9cae7b18,2020-07-15 3:25:22 PM CDT,2020-07-15,2020-07-15 15:25:22 UTC,UTC,2649125,amadeus_000,Amadeus,2020-07-17 22:53:35 UTC,2021-07-05 17:30:00 UTC,research,,https://www.inaturalist.org/observations/53414902,https://static.inaturalist.org/photos/84955926/medium.jpeg,,"",,2,0,false,2,"Canoitas, 49500 Mazamitla, Jal., México",19.913657,-103.0158919722,,,,,,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
55083857,73d66930-0785-4573-b5d7-9cc321af0efb,2020-07-31 9:12:11 AM CDT,2020-07-31,2020-07-31 14:12:11 UTC,Central Time (US & Canada),62141,pcarreyes,Pablo Carrillo-Reyes,2020-08-01 21:27:15 UTC,2020-08-01 23:58:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55083857,https://inaturalist-open-data.s3.amazonaws.com/photos/87686173/medium.jpeg,,"",,1,0,false,2,"Tapalpa, Jal., México",20.0226535794,-103.7167053222,,,,,,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
