id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
13816502,6a12a59e-34d9-4858-9a9e-5403e84fc4cf,2018/02/08 3:08 PM MST,2018-02-08,2018-02-08 22:08:00 UTC,Mountain Time (US & Canada),982015,oscarcar,Oscar Carreón,2018-06-26 23:50:58 UTC,2023-03-31 02:31:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13816502,https://inaturalist-open-data.s3.amazonaws.com/photos/20384448/medium.jpg,,"",,2,1,false,,"San Sebastián del Oeste, Jal., México",20.7880539117,-104.8562407275,100,,,,100,,open,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
14342809,bbaf5567-c2f7-46d0-9bb7-752db59a68a6,2018/07/13 8:49 AM CDT,2018-07-13,2018-07-13 13:49:00 UTC,Central Time (US & Canada),5784,julio,Julio Alejandro Álvarez Ruiz,2018-07-14 11:16:53 UTC,2023-02-19 02:31:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/14342809,https://static.inaturalist.org/photos/21312667/medium.jpeg,,"","",1,0,false,,"Cerro El Colli, Zapopan, Jal., México",20.6574963765,-103.4577930619,8,,,,8,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
14342830,08f96cf0-c68c-4221-b5bf-18a6c1de7e26,2018/07/13 9:33 AM CDT,2018-07-13,2018-07-13 14:33:00 UTC,Central Time (US & Canada),5784,julio,Julio Alejandro Álvarez Ruiz,2018-07-14 11:17:09 UTC,2023-02-19 02:31:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/14342830,https://static.inaturalist.org/photos/21312729/medium.jpeg,,"","",1,0,false,,"Cerro El Colli, Zapopan, Jal., México",20.6583451789,-103.4601469899,8,,,,8,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
14507745,28223537-8574-4638-8ff5-68ba2d38b510,Mon Jul 16 2018 14:00:32 GMT-0500 (CDT),2018-07-16,2018-07-16 19:00:32 UTC,Central Time (US & Canada),864530,edgarpadilla,Edgar Padilla,2018-07-19 05:38:57 UTC,2018-08-10 16:59:06 UTC,research,,https://www.inaturalist.org/observations/14507745,https://static.inaturalist.org/photos/21597750/medium.jpg,,"",,2,0,false,3,"Talpa de Allende, Talpa de Allende, JAL, MX",20.2116133333,-104.759025,6,,,,6,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
15454481,9641aadb-db5b-4f9f-874a-4bb633daa501,Wed Aug 15 2018 11:14:20 GMT-0500 (CDT),2018-08-15,2018-08-15 16:14:20 UTC,Central Time (US & Canada),1050458,jessgomez,Jessica Nayeli Gómez,2018-08-15 18:26:05 UTC,2018-08-23 01:39:32 UTC,research,,https://www.inaturalist.org/observations/15454481,https://static.inaturalist.org/photos/23185259/medium.jpg,,"",,1,0,false,3,"Zapopan, Zapopan, JAL, MX",20.7474283333,-103.51413,5,,,,5,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
15912878,ebd82eb0-cedc-472a-ba9b-97465508d651,2018-08-26 10:47:08 AM CDT,2018-08-26,2018-08-26 15:47:08 UTC,Central Time (US & Canada),1142304,melinafigueroamontes,,2018-08-26 16:04:19 UTC,2018-08-31 14:46:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/15912878,https://inaturalist-open-data.s3.amazonaws.com/photos/23800787/medium.jpeg,,"",,1,0,false,2,"Calle Liborio Montes 18, La Mesa, Jal., Mexico",19.61834386,-103.52150732,9,,,,9,,,false,,,Agave maximiliana,Agave maximiliana,,Plantae,273686
16635686,97862f27-7ff2-49c2-81f2-bda4c8d8f919,2017/12/22 6:43 PM CST,2017-12-22,2017-12-23 00:43:00 UTC,Central Time (US & Canada),17401,najera_tutor,Pedro Nájera Quezada,2018-09-17 19:20:47 UTC,2023-07-07 02:02:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/16635686,https://inaturalist-open-data.s3.amazonaws.com/photos/25073496/medium.jpeg,,"",,1,0,false,,"Mezquitic, Jal., México",22.1949826658,-104.2310040857,758,,,,758,,,false,,,Agave maximiliana,Agave maximiliana,,Plantae,273686
16635751,3b8fb6d5-d299-4314-b486-0cd946ec6c61,2017/12/24 3:05 PM CST,2017-12-24,2017-12-24 21:05:00 UTC,Central Time (US & Canada),17401,najera_tutor,Pedro Nájera Quezada,2018-09-17 19:21:26 UTC,2023-07-07 02:07:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/16635751,https://inaturalist-open-data.s3.amazonaws.com/photos/25075091/medium.jpeg,,"",,1,0,false,,"Mezquitic, Jal., México",22.2194707235,-104.2331546269,313,,,,313,,,false,,,Agave maximiliana,Agave maximiliana,,Plantae,273686
17927186,f59e3ccf-210b-4030-866e-38ebf6713fc0,Fri Oct 26 2018 14:14:34 GMT-0500 (CDT),2018-10-26,2018-10-26 19:14:34 UTC,Central Time (US & Canada),408674,alexordorica,,2018-10-29 04:39:36 UTC,2018-11-03 06:54:46 UTC,research,,https://www.inaturalist.org/observations/17927186,https://static.inaturalist.org/photos/27389077/medium.jpg,,"",,1,0,false,3,"Tecolotlán, Tecolotlán, JAL, MX",20.2735373729,-104.0628340805,1471,,,,1471,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
18936463,67405ce6-61be-4d3d-820e-8e529a1214a3,Sun Dec 09 2018 10:18:42 GMT-0600 (CST),2018-12-09,2018-12-09 16:18:42 UTC,Central Time (US & Canada),864530,edgarpadilla,Edgar Padilla,2018-12-10 07:21:23 UTC,2019-03-01 04:38:23 UTC,research,,https://www.inaturalist.org/observations/18936463,https://static.inaturalist.org/photos/29115172/medium.jpg,,"",,1,0,false,3,"Mascota, Mascota, JAL, MX",20.61547,-104.7531666667,8,,,,8,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
