id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
40205710,6aea8416-2845-4de6-afd2-12234cd0bae8,2020/03/11 8:45 AM CST,2020-03-11,2020-03-11 14:45:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2020-03-18 22:36:05 UTC,2020-05-28 16:18:22 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/40205710,https://inaturalist-open-data.s3.amazonaws.com/photos/63864827/medium.jpeg,,"","",2,0,false,,"Mezquitic, Jal., México",22.1933052806,-103.6835284939,15,,,,15,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
42052611,c4356ab5-3f75-4511-a130-c6561c5de3e3,2019/07/12 12:29 PM HST,2019-07-12,2019-07-12 22:29:00 UTC,Hawaii,26374,vquinterof,Victor Quintero F.,2020-04-13 00:42:51 UTC,2020-04-14 02:41:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/42052611,https://inaturalist-open-data.s3.amazonaws.com/photos/66736713/medium.jpg,,"",,2,0,false,,"Mezquitic, Jal., México",22.213612,-103.668455,,,,,,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
42369722,32613656-72aa-4366-9347-e1ee25f02035,2020/03/03 12:43 PM CST,2020-03-03,2020-03-03 18:43:00 UTC,Guadalajara,86947,poncetejedai_tutor,Gilberto Ponce Tejeda,2020-04-17 04:05:50 UTC,2020-04-17 22:36:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/42369722,https://inaturalist-open-data.s3.amazonaws.com/photos/67269853/medium.jpg,,"",,1,0,false,,"Yahualica de González Gallo, Jal., México",21.1678604445,-102.8901879657,104,,,,104,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
44543710,b0926ac7-7d7e-403e-b133-45ee18a26f8f,2020/04/29 11:52 AM CDT,2020-04-29,2020-04-29 16:52:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2020-05-02 01:31:43 UTC,2020-05-19 16:38:08 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/44543710,https://inaturalist-open-data.s3.amazonaws.com/photos/70620471/medium.jpeg,,"","",1,0,false,,"Chiquilistlán, Jal., México",20.052568389,-103.9413197668,8,,,,8,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
49266567,3d6f98dc-833b-48a6-8d0f-f5926bb2886d,2020/06/02 12:33 PM CDT,2020-06-02,2020-06-02 17:33:00 UTC,Guadalajara,86947,poncetejedai_tutor,Gilberto Ponce Tejeda,2020-06-11 21:22:42 UTC,2022-07-10 23:35:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/49266567,https://inaturalist-open-data.s3.amazonaws.com/photos/78198934/medium.jpeg,,"","",1,0,false,,"Yahualica de González Gallo, Jal., México",21.1231090599,-102.8180661971,1129,,,,1129,,open,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
51522178,eb3b7dd2-5d06-4de5-9f96-ac6881e7bb02,2020/06/06 9:28 AM CDT,2020-06-06,2020-06-06 14:28:00 UTC,Guadalajara,17894,ana_santiago,Ana Santiago,2020-06-30 22:13:58 UTC,2020-09-29 12:35:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51522178,https://inaturalist-open-data.s3.amazonaws.com/photos/81865570/medium.jpg,,"",,1,0,false,,"Tecolotlán, Jal., México",20.2424696918,-104.0920025011,4,,,,4,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
55607269,46e6dbbc-9a82-42f1-b34b-e83ffe3f6999,2020/08/05 9:32 AM CDT,2020-08-05,2020-08-05 14:32:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2020-08-06 15:58:11 UTC,2020-08-19 23:24:25 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/55607269,https://inaturalist-open-data.s3.amazonaws.com/photos/88554665/medium.jpeg,,"","",2,0,false,,"Guadalajara, Jal., México",20.7247912511,-103.2872778263,21,,,,21,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
55700084,b48064cd-6826-4801-9f9a-7776c92bd165,2020-08-06 11:51:03 AM CDT,2020-08-06,2020-08-06 16:51:03 UTC,Mexico City,405175,elrayman210,Ricardo Arredondo T.,2020-08-07 14:37:12 UTC,2020-08-15 23:50:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/55700084,https://inaturalist-open-data.s3.amazonaws.com/photos/88710327/medium.jpeg,,"",,1,0,false,2,"Tapalpa, Jal., México",19.8706419098,-103.7611890212,341,,,,341,,,false,gps,gps,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
57037664,f863cde7-8a84-4fde-bd4c-fd9622d2e4ce,2019/09/12 3:15 AM CDT,2019-09-12,2019-09-12 08:15:00 UTC,Guadalajara,2408915,biosmike,,2020-08-20 16:21:53 UTC,2021-01-24 14:25:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/57037664,https://inaturalist-open-data.s3.amazonaws.com/photos/90945556/medium.jpeg,,"",,2,0,false,,"Cuautitlán de García Barragán, Jal., México",19.4529689193,-104.1529853758,61,,,,61,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
65914969,fcdb3d9a-a82f-4915-b7dc-849c0a4a9da9,2020/11/29 8:20 AM CST,2020-11-29,2020-11-29 14:20:00 UTC,Guadalajara,5784,julio,Julio Alejandro Álvarez Ruiz,2020-12-01 00:22:17 UTC,2023-02-19 02:31:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/65914969,https://static.inaturalist.org/photos/106166043/medium.jpeg,,"",,1,0,false,,"Etzatlán, Jal., México",20.6793669868,-104.0683202626,722,,,,722,,open,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
